Country,Region,Type (Oil/Gas),Production Source,Segment (Up/Down),Abatement Technology,Abatement Potential,Abatement Cost
New Zealand,Asia Pacific,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.1,-6.75
New Zealand,Asia Pacific,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.07,-6.75
New Zealand,Asia Pacific,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.59,-6.75
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.41,-6.74
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,12.96,-6.7
China,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,29.78,-6.7
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,21.08,-6.7
Korea,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,0,-6.7
Korea,Asia Pacific,Gas,Unconventional gas,Upstream,Install plunger,0,-6.7
Korea,Asia Pacific,Gas,Offshore gas,Upstream,Install plunger,0,-6.7
Australia,Asia Pacific,Gas,Satellite - upstream,Upstream,Upstream LDAR,2.4,-6.67
Korea,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.01,-6.66
Japan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,0.08,-6.65
Malaysia,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.06,-6.63
Malaysia,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,19.2,-6.63
Brunei,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0,-6.63
Brunei,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,1.5900000000000000,-6.63
Other countries in Southeast Asia,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.23,-6.63
Other countries in Southeast Asia,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,13.68,-6.63
Philippines,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.05,-6.63
Philippines,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,2.74,-6.63
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vapour recovery units,10.36,-6.63
Thailand,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.29,-6.63
Thailand,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,59.31,-6.63
Vietnam,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.05,-6.63
Vietnam,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,6.75,-6.63
Poland,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0.07,-6.62
Poland,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0.33,-6.62
Poland,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.16,-6.5600000000000000
India,Asia Pacific,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0.02,-6.55
India,Asia Pacific,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0.03,-6.55
Japan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.49,-6.54
Japan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.02,-6.54
Other countries in Europe,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0.01,-6.51
Other countries in Europe,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0.09,-6.51
Ukraine,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0.08,-6.51
Ukraine,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,2.32,-6.51
Other countries in Southeast Asia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.27,-6.5
Other countries in Southeast Asia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.69,-6.5
Other EU7 countries,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0.07,-6.5
Other EU7 countries,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.18,-6.5
Other EU17 countries,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0.36,-6.5
Other EU17 countries,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0.02,-6.5
Other EU17 countries,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.72,-6.5
Romania,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0,-6.5
Romania,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,2.71,-6.5
Philippines,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.97,-6.5
Romania,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,2.59,-6.5
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,1.07,-6.5
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,21.39,-6.5
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,6.17,-6.5
Italy,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.89,-6.5
Italy,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0.14,-6.5
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.14,-6.5
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.67,-6.5
United Kingdom,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0,-6.5
United Kingdom,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0,-6.5
Vietnam,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.65,-6.5
United Kingdom,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.39,-6.5
France,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.17,-6.49
Netherlands,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0,-6.49
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.45,-6.48
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.69,-6.48
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,0,-6.48
India,Asia Pacific,Gas,Downstream gas,Downstream,Other,32.88,-6.47
Germany,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.19,-6.47
Netherlands,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0.02,-6.47
Brazil,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,0.67,-6.47
India,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,0.76,-6.46
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.55,-6.46
France,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0,-6.46
France,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0,-6.46
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,2.15,-6.46
New Zealand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Blowdown capture,0.3,-6.46
Netherlands,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Other EU17 countries,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Other EU7 countries,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Romania,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.02,-6.45
South Africa,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-6.45
South Africa,Africa,Oil,Unconventional oil,Upstream,Blowdown capture,0.01,-6.45
Poland,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Italy,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-6.45
France,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Germany,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Australia,Asia Pacific,Gas,Unconventional gas,Upstream,Blowdown capture,10.82,-6.45
Australia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Blowdown capture,0.72,-6.45
United Kingdom,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Ukraine,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.45
Germany,Europe,Gas,Unconventional gas,Upstream,Replace pumps,0.18,-6.44
Germany,Europe,Gas,Onshore conventional gas,Upstream,Replace pumps,0.37,-6.44
India,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,8.73,-6.44
India,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,2.54,-6.44
Poland,Europe,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.15,-6.44
Poland,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.33,-6.44
Poland,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.01,-6.44
South Africa,Africa,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.11,-6.44
Ukraine,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.69,-6.44
Ukraine,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.49,-6.44
Brazil,Central and South America,Oil,Offshore oil,Upstream,Replace with instrument air systems,107.28,-6.41
Brazil,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,1.48,-6.41
Brazil,Central and South America,Gas,Offshore gas,Upstream,Replace with instrument air systems,8.74,-6.41
Other countries in Europe,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.52,-6.4
Other countries in Europe,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-6.39
Norway,Europe,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.39
Brazil,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.03,-6.39
Australia,Asia Pacific,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.53,-6.39
Australia,Asia Pacific,Gas,Offshore gas,Upstream,Replace with instrument air systems,17.62,-6.39
Australia,Asia Pacific,Oil,Offshore oil,Upstream,Replace with instrument air systems,1.8600000000000000,-6.39
Australia,Asia Pacific,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0,-6.38
Australia,Asia Pacific,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0.04,-6.38
Estonia,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.01,-6.38
Estonia,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.01,-6.38
Estonia,Europe,Oil,Offshore oil,Upstream,Replace with instrument air systems,0,-6.38
Argentina,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.08,-6.34
Argentina,Central and South America,Oil,Unconventional oil,Upstream,Blowdown capture,0.08,-6.34
Bolivia,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-6.34
Colombia,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.07,-6.34
Cuba,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.34
Ecuador,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.07,-6.34
South Africa,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0,-6.34
South Africa,Africa,Gas,Unconventional gas,Upstream,Replace pumps,0,-6.34
Peru,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-6.34
Trinidad and Tobago,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-6.34
Venezuela,Central and South America,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.5,-6.34
China,Asia Pacific,Oil,Offshore oil,Upstream,Vapour recovery units,48.97,-6.33
Colombia,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,1.49,-6.31
Ecuador,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,0.01,-6.31
Cuba,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,0.11,-6.31
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace pumps,0.13,-6.31
Bolivia,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,2.55,-6.31
Argentina,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,2.42,-6.31
Argentina,Central and South America,Gas,Unconventional gas,Upstream,Replace pumps,10.06,-6.31
Peru,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,1.3600000000000000,-6.31
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace pumps,3.77,-6.31
Other,Asia Pacific,Oil,Offshore oil,Upstream,Vapour recovery units,0,-6.31
Trinidad and Tobago,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,0.14,-6.31
Venezuela,Central and South America,Gas,Onshore conventional gas,Upstream,Replace pumps,4.32,-6.31
New Zealand,Asia Pacific,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0,-6.3
New Zealand,Asia Pacific,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0,-6.3
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,9.72,-6.25
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,15.81,-6.25
China,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,22.34,-6.25
India,Asia Pacific,Oil,Satellite - downstream,Downstream,Downstream LDAR,2.48,-6.24
South Africa,Africa,Gas,Offshore gas,Upstream,Blowdown capture,0.02,-6.21
China,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,3.38,-6.2
China,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,3.64,-6.2
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.03,-6.19
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0,-6.19
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,0.01,-6.18
Other countries in Southeast Asia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,0.02,-6.18
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,0.06,-6.18
Indonesia,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,25.09,-6.11
Indonesia,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,1.33,-6.11
Israel,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,1.8600000000000000,-6.1
Israel,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.12,-6.1
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,5.91,-6.09
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0.7,-6.09
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.55,-6.09
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0.08,-6.09
Bolivia,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.15,-6.09
Argentina,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,1.53,-6.09
Argentina,Central and South America,Gas,Offshore gas,Upstream,Replace with instrument air systems,2.86,-6.09
Argentina,Central and South America,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.18,-6.09
Colombia,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.28,-6.09
Colombia,Central and South America,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.5,-6.09
Cuba,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.03,-6.09
Cuba,Central and South America,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.25,-6.09
Ecuador,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.02,-6.09
Ecuador,Central and South America,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.17,-6.09
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,4.96,-6.09
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0.22,-6.09
Trinidad and Tobago,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.34,-6.09
Trinidad and Tobago,Central and South America,Gas,Offshore gas,Upstream,Replace with instrument air systems,9.73,-6.09
Other countries in Southeast Asia,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,2.94,-6.09
Paraguay,Latin America,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.02,-6.09
Peru,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.15,-6.09
Peru,Central and South America,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.01,-6.09
Peru,Central and South America,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.16,-6.09
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0,-6.09
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.49,-6.09
Venezuela,Central and South America,Gas,Offshore gas,Upstream,Replace with instrument air systems,3.88,-6.09
Venezuela,Central and South America,Gas,Downstream gas,Downstream,Replace with instrument air systems,1.24,-6.09
Venezuela,Central and South America,Oil,Offshore oil,Upstream,Replace with instrument air systems,12.24,-6.09
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0.55,-6.09
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.93,-6.09
Uruguay,Latin America,Gas,Downstream gas,Downstream,Replace with instrument air systems,0,-6.09
Uruguay,Latin America,Gas,Offshore gas,Upstream,Replace with instrument air systems,0,-6.09
Trinidad and Tobago,Central and South America,Oil,Offshore oil,Upstream,Replace with instrument air systems,1.79,-6.09
India,Asia Pacific,Oil,Offshore oil,Upstream,Vapour recovery units,34.22,-6.07
New Zealand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.06,-6.04
New Zealand,Asia Pacific,Oil,Offshore oil,Upstream,Vapour recovery units,0.04,-6.04
Poland,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.3600000000000000,-6
Poland,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.09,-6
Poland,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.28,-6
South Africa,Africa,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.02,-6
South Africa,Africa,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.12,-6
Ukraine,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,9.32,-6
Ukraine,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.12,-6
Ukraine,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.32,-6
Brazil,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,2.79,-5.98
Brazil,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,2.75,-5.98
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Other,0.01,-5.97
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Other,0.05,-5.97
Other countries in Europe,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.64,-5.95
Other countries in Europe,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.36,-5.95
Other countries in Europe,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.05,-5.95
Other EU7 countries,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.08,-5.91
Other EU7 countries,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.11,-5.91
Other EU17 countries,Europe,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.05,-5.91
Other EU17 countries,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,2.03,-5.91
Other EU17 countries,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.54,-5.91
Slovenia,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.01,-5.91
Slovenia,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.01,-5.91
Romania,Europe,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.75,-5.91
Romania,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.63,-5.91
Romania,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.95,-5.91
India,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,1.9100000000000000,-5.91
Italy,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,1.21,-5.91
Italy,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.38,-5.91
Italy,Europe,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.17,-5.91
India,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,6.54,-5.91
United Kingdom,Europe,Oil,Offshore oil,Upstream,Replace with instrument air systems,7.24,-5.91
United Kingdom,Europe,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.51,-5.91
United Kingdom,Europe,Gas,Offshore gas,Upstream,Replace with instrument air systems,3.8,-5.91
Indonesia,Asia Pacific,Oil,Offshore oil,Upstream,Vapour recovery units,8.94,-5.9
Poland,Europe,Gas,Unconventional gas,Upstream,Blowdown capture,0.17,-5.9
Poland,Europe,Gas,Onshore conventional gas,Upstream,Blowdown capture,0.85,-5.9
South Africa,Africa,Gas,Onshore conventional gas,Upstream,Blowdown capture,0.01,-5.9
